1,横店影视城是什么？,中国最大的影视主题公园,手撕鬼子的好地方,通往古代的穿越胜地,A
2,横店地处于哪个市？,浙江东阳,上海,浙江杭州,A
3,横店又被明星和粉丝们称为？,横大,横小,横国,C
4,从杭州自驾车至横店大约需要几个小时？,2,3,4,A
5,在横店专为游客拍微电影的是哪个团队？,横店影视城明星梦工场,华纳迪斯尼,华谊兄弟,A
6,横店以亲子为主要特色的酒店是？,丰景嘉丽大酒店,旅游大厦,国贸大厦,B
7,被粉丝称为横店镇长的是？,胡一菲,胡歌,胡一刀,B
8,2014年“梦幻谷八年庆”启动仪式“点亮梦幻”生日狂欢派对是在哪一天举行？,2014年6月21日,2014年6月22日,2014年6月23日,A
9,横店影视城以秦汉风格为主题的景区是？,秦王宫,秦汉街,咸阳宫,A
10,六一节快到了，各家酒店都推出亲子特色自助晚餐，以下哪家酒店除外？,贵宾楼,国贸大厦,旅游大厦,B
11,横店影视城是国家几A级景区？,3A,4A,5A,C
12,以故宫的盛衰为背景的史诗般电影舞台秀是叫什么名字？,紫禁大典,龙帝惊临,秦淮八艳,A
13,创办于2012年的中国（横店）影视“金牛奖”两年评选一次，今年是第几届？,二,三,四,A
14,以下哪个不是“广州街・香港街”的头衔？,华东地区最大的婚纱摄影基地,浙江首批蜜月旅游首选景点,中国抗日根据地,C
15,以下哪部电影不是在横店取景拍摄的？,英雄,木乃伊3,卧虎藏龙,C
16,横店影视城第一座建造的影视基地是？,秦王宫,广州街・香港街,清明上河图,B
17,因戏生爱，定情于横店的明星情侣比比皆是，以下哪对除外？,杨幂＆刘恺威,刘诗诗＆吴奇隆,文章＆马伊俐,C
18,被称为“全球最大火山实景演出”的是？,梦幻太极,暴雨山洪,秦淮八艳,A
19,横店影视城以名画为蓝本而建的景区是？,广州街・香港街,清明上河图,屏岩洞府,B
20,横店影视城被美国《好莱坞》杂志称为？,中国好莱坞,中国达人秀,中国好声音,A
21,《大话飞鸿》和《怒海争风》是哪个景区的演艺节目？,广州街・香港街,明清宫苑,清明上河图,A
22,横店唯一一个夜游景区是指？,广州街・香港街,梦幻谷,明清宫苑,B
23,唐人电影的哪部电视剧不是在横店取景完成的？,步步惊心,仙剑奇侠传,步步惊情,C
24,地处镇中心繁华地段，以双子楼为标志的酒店是？,旅游大厦,国贸大厦,影星酒店,A
25,被《快乐大本营》冠名为“横店一哥”的是？,韩栋,韩寒,韩磊,A
26,以秦淮河畔“秦淮八艳”为题材的大型室内园林式戏曲歌舞秀是指哪台演出？,梦幻太极,秦淮八艳,汴梁一梦,B
27,横店梦幻谷水世界将于哪个月份开放？,六月,九月,十二月,A
28,以下哪家酒店属于四星酒店？,国贸大厦,影星酒店,旅游大厦,A
29,2014年端午节亲子龙舟赛是在哪个景区举办？,秦王宫,广州街・香港街,清明上河图,B
30,水上飞行器、单人摩托艇、气垫船出现在以下哪个节目中？,怒海争风,梦幻太极,汴梁一梦,A
31,以下成龙电影中哪部不是在横店拍的？,功夫之王,天将雄师,神话,C
32,在横店明清宫苑景区拍摄的影视剧中，以下哪部不是穿越剧？,步步惊心,甄执,宫锁心玉,B
33,横店第一家以世界风景为主题的酒店是？,旅游大厦,丰景嘉丽大酒店,国贸大厦,B
34,通过哪种方式购横店门票不能享受优惠折扣？,手机购票,官网购票,景区窗口购票,C
35,横店计划开发多个旅游项目，以下哪个不是横店目前在建项目？,梦上海,万花园,梦想王国,C
36,为鼓励横店影视产业实验区影视创作而设置的奖项是？,金马奖,金牛奖,金像奖,B
37,在秦王宫拍摄完成的电影《英雄》是哪位导演的转型之作？,李安,张艺谋,陈凯歌,B
38,横店影视城巨星云集的酒店是哪一家？,贵宾楼,影星酒店,星河大酒店,A
39,横店影视城首个4D轨道黑暗乘骑、以电影《木乃伊3》为背景的体验项目是？,龙帝惊临,秦淮八艳,怒海争风,A
40,华东第一秀《秦淮八艳》是哪个景区的演出？,华夏文化园,明清民居博览城,明清宫苑,B
41,横店影视城官网优惠券可用于预订以下哪种产品使用？,门票,酒店,套餐（门票+酒店）,C
42,梦幻谷儿童游乐区内的一台亲子互动节目是？,小鸟加油,梦幻太极,暴雨山洪,A
43,哪个景区是华东地区最大的婚纱摄影基地？,广州街・香港街,明清宫苑,秦王宫,A
44,还原宋代大型古彩戏法的演艺节目是指？,梦回秦汉,汴梁一梦,英雄比剑,B
45,在横店创作完成美人系列和宫系列电视剧的编导是？,于正,李国立,郑晓龙,A
46,近现代风格的广州街・香港街景区曾经拍摄《潜伏》拍摄最多的题材是？,清宫剧,谍战剧,仙侠剧,B
47,横店影视城官方微信号（u_hengdian）上提前预订梦幻谷门票能优惠多少？,15,30,20,B
48,湖南卫视《快乐大本营》中除了马兰坡以外，出现频率最多的地名是？,横店,铁岭,星星,A
49,《步步惊心》中若曦与四爷第一次相遇是在明清宫苑景区的哪里？,宫市街,御花园,亲王府,A
50,横店餐饮以东阳本地菜为主，以下哪个不属于东阳本地菜?,土鸡煲,烤豆腐,东坡肉,C
51,横店一度因“抗日神剧”而受到关注，以下哪种功夫不属于神剧情节？,手撕鬼子,手榴弹炸飞机,胸口碎大石,C
52,梦幻谷儿童游乐区称为？,江南水乡,儿童梦工场,水世界,B
53,横店唯一一家服务于群众演员组织是？,演员公会,华谊兄弟,天娱传媒,A
54,横店影视城出现在大量的好莱坞电影中，以下哪一部没有在横店取景？,生死格斗,木乃伊3,阿凡达,C
55,以老上海为背景而开发的新一代的横店影视主题公园是？,梦上海,万花园,梦想王国,A
56,横店影视城有几个影视基地组成？,3个,13个,23个,B
57,梦幻谷的摩天轮“喜马天轮”高达多少米？,45米,55米,65米,C
58,周星驰电影《西游・降魔篇》中哪句台词让“横店群演大妈”一炮而红？,你怎么不早说？,在我面前装什么野兽啊！,不撒也要发工资！,A
59,以“万园之园”和“世界园林之王”之称的圆明园为背景而建设的大型旅游项目是？,梦想王国,万花园,梦上海,B
60,横店影视城官网客服电话？,4009999141,4009999142,4009999143,A
